model_name,CIFAR10,CIFAR100,Caltech101,Caltech256,DTD,FGVCAircraft,Food101,ImageNet-100-0.01,ImageNet-100-0.1,OxfordIIITPet,Places365,STL10,StanfordCars
CLIP,0.8414999842643738,0.6559000015258789,0.8968893885612488,0.7280300259590149,0.577659547328949,0.3309330940246582,0.5638415813446045,0.5422000288963318,0.6697999835014343,0.626328706741333,0.4403561651706695,0.8842499852180481,0.3039422929286957
CLIP + ITM,0.840399980545044,0.6577000021934509,0.9095622301101683,0.7415876984596252,0.5867021083831787,0.3309330940246582,0.5877623558044434,0.5547999739646912,0.6728000044822693,0.626328706741333,0.4438904225826263,0.8863750100135803,0.316254198551178
CLIP + ITM + MLM,0.8682000041007996,0.6854000091552734,0.901497721672058,0.774746835231781,0.6702127456665039,0.3378337919712066,0.6453069448471069,0.6137999892234802,0.7405999898910522,0.6827473640441895,0.4693698585033417,0.9290000200271606,0.3395100235939026
CLIP + ITM + SimCLR + MLM,0.8712000250816345,0.6880000233650208,0.8905529975891113,0.7660894989967346,0.6856383085250854,0.2916291654109955,0.6888712644577026,0.602400004863739,0.7455999851226807,0.6519487500190735,0.4669314920902252,0.9301249980926514,0.2938689291477203
CLIP + MLM,0.8815000057220459,0.7009999752044678,0.9003456234931946,0.790591299533844,0.6914893388748169,0.3408340811729431,0.6799207925796509,0.6302000284194946,0.7523999810218811,0.688198447227478,0.4780274033546448,0.9368749856948853,0.3463499546051025
CLIP + SimCLR,0.8460000157356262,0.6610000133514404,0.9176267385482788,0.7205161452293396,0.5925531983375549,0.3366336524486542,0.5862178206443787,0.5461999773979187,0.6741999983787537,0.6334151029586792,0.4413424730300903,0.8815000057220459,0.3014550507068634
CLIP + SimCLR + ITM,0.8452000021934509,0.6610000133514404,0.9164746403694152,0.7306435704231262,0.603723406791687,0.34113410115242,0.5889108777046204,0.5473999977111816,0.671999990940094,0.6230580806732178,0.4459178149700165,0.8855000138282776,0.2908842265605926
CLIP + SimCLR + MLM,0.8639000058174133,0.6783999800682068,0.8847926259040833,0.764782726764679,0.6829787492752075,0.2979297935962677,0.6696237921714783,0.5960000157356262,0.7426000237464905,0.6503134369850159,0.4630137085914612,0.9227499961853028,0.2816813886165619
ITM + MLM,0.6237000226974487,0.3738000094890594,0.5789170265197754,0.3340411484241485,0.3473404347896576,0.0846084579825401,0.2002772241830825,0.1858000010251999,0.2960000038146972,0.2174979597330093,0.2109315097332,0.6487500071525574,0.0700161680579185
SimCLR,0.7382000088691711,0.5002999901771545,0.7638248801231384,0.4490362703800201,0.3521276712417602,0.1329132914543151,0.208316832780838,0.1861999928951263,0.3192000091075897,0.2515671849250793,0.2366575300693512,0.7043750286102295,0.1165277957916259
SimCLR + ITM,0.739799976348877,0.504800021648407,0.7788018584251404,0.4537732899188995,0.3728723526000976,0.1572157144546508,0.2472079247236251,0.1949999928474426,0.3348000049591064,0.2657399773597717,0.2461917847394943,0.7171249985694885,0.1266011744737625
SimCLR + ITM + MLM,0.7961999773979187,0.5845000147819519,0.7747696042060852,0.6110748052597046,0.5952127575874329,0.21302130818367,0.5134653449058533,0.4077999889850616,0.5690000057220459,0.4524393677711487,0.3749315142631531,0.8100000023841858,0.1627907007932663
SimCLR + MLM,0.7466999888420105,0.5340999960899353,0.718317985534668,0.5135576725006104,0.5388298034667969,0.1992199271917343,0.4386930763721466,0.3050000071525574,0.4796000123023987,0.3783047199249267,0.327945202589035,0.753125011920929,0.1446337550878524
