model_name,CIFAR10,CIFAR100,Caltech101,Caltech256,DTD,FGVCAircraft,Food101,ImageNet,OxfordIIITPet,Places365,STL10,StanfordCars
CLIP,0.3532800078392029,0.1388999968767166,0.4228497445583343,0.3399632573127746,0.1287233978509903,0.0152969406917691,0.1032475233078002,0.1272200047969818,0.0807065218687057,0.169917806982994,0.7760000228881836,0.0047888015396893
CLIP + ITM,0.355320006608963,0.1336199939250946,0.4747154712677002,0.3465386927127838,0.1069148927927017,0.0113977203145623,0.1035247519612312,0.1250800043344497,0.0896739140152931,0.1599452048540115,0.7333999872207642,0.0068762279115617
CLIP + ITM + MLM,0.5813000202178955,0.2118200063705444,0.478173166513443,0.3785583078861236,0.15053191781044,0.0134973004460334,0.1304158419370651,0.1343999952077865,0.0820652171969413,0.1915068477392196,0.7807999849319458,0.007612966466695
CLIP + ITM + SimCLR + MLM,0.4634200036525726,0.1088400036096572,0.4005186557769775,0.3026342689990997,0.180319145321846,0.0089982002973556,0.1297293752431869,0.1128999963402748,0.0877717360854148,0.1742739677429199,0.7039999961853027,0.0062622791156172
CLIP + MLM,0.4464400112628937,0.1808200031518936,0.4882581830024719,0.3595262467861175,0.1537234038114547,0.0128974206745624,0.1350759118795395,0.1243000030517578,0.0771739110350608,0.178904116153717,0.7310000061988831,0.0084724947810173
CLIP + SimCLR,0.4318200051784515,0.1602800041437149,0.4232819378376007,0.3370635211467743,0.1239361688494682,0.0116976602002978,0.10776237398386,0.1212799996137619,0.0980978235602378,0.1596164405345916,0.722599983215332,0.0085952850058674
CLIP + SimCLR + ITM,0.4308199882507324,0.1580599993467331,0.4263074398040771,0.3426996171474457,0.1079787239432334,0.0095980800688266,0.103683166205883,0.123539999127388,0.0801630467176437,0.1627671271562576,0.7572000026702881,0.0084724947810173
CLIP + SimCLR + MLM,0.4432600140571594,0.1955199986696243,0.4163665175437927,0.3433530628681183,0.1744680851697921,0.0083983205258846,0.1321980208158493,0.1163399964570999,0.0899456515908241,0.1743835657835006,0.7027999758720398,0.0074901767075061
ITM + MLM,0.0839599967002868,0.0090800002217292,0.0048984298482537,0.0012252399465069,0.0159574467688798,0.0068986201658844,0.0085676563903689,0.000560000014957,0.0171195659786462,0.0022739726118743,0.031199999153614,0.0045432220213115
SimCLR,0.1128799989819526,0.012699999846518,0.0056187869049608,0.0047375946305692,0.018617020919919,0.0095980800688266,0.0097425738349556,0.001120000029914,0.0220108702778816,0.0032054793555289,0.1519999951124191,0.0045432220213115
SimCLR + ITM,0.094539999961853,0.0099999997764825,0.0123901451006531,0.0174800902605056,0.0207446813583374,0.0128974206745624,0.0104686468839645,0.0007999999797903,0.0366847813129425,0.0022739726118743,0.1092000007629394,0.0069990176707506
SimCLR + ITM + MLM,0.1251399964094162,0.0085199996829032,0.0059069297276437,0.0037165612448006,0.0164893623441457,0.0149970008060336,0.007749174721539,0.0006799999973736,0.0263586957007646,0.0019726026803255,0.1033999994397163,0.0027013751678168
SimCLR + MLM,0.1241799965500831,0.0073799998499453,0.0086442874744534,0.0031447825022041,0.0223404262214899,0.0131973605602979,0.0085016498342156,0.0006399999838322,0.0364130437374115,0.0028767122421413,0.1103999987244606,0.0051571708172559
